"","x","y","key","Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"188",172.16,78.63,"sntl_425","Crater Meadows",425,"Idaho","SNOTEL","Clearwater",5960,46.56394,-115.28903,170603070502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",30.8,95,97,94,97,100,63,64,-0.9,39,23,15,"",32.3,31.6,32.64,31.7,20.3,55.5,"2001","1997",37
"189",159.18,120.62,"sntl_439","Deadwood Summit",439,"Idaho","SNOTEL","Valley",6860,44.54514,-115.5638,170501200401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",24.1,83,89,86,92,100,54,57,-2.2,34,26,12,"",28.9,27,28.15,26.3,12.9,54,"2001","1997",39
"190",168.65,143.47,"sntl_450","Dollarhide Summit",450,"Idaho","SNOTEL","Blaine",8420,43.6025,-114.67417,170402190201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.2,NA,NA,98,103,100,61,66,0.5,59,17,23,"",NA,NA,16.52,15.7,7.1,31.8,"1991","1997",40
"191",161.18,70.22,"sntl_466","Elk Butte",466,"Idaho","SNOTEL","Clearwater",5690,46.83998,-116.12233,170603080701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",24.3,92,95,93,100,100,65,68,-0.1,47,21,19,"",26.5,25.7,26,24.4,12.5,47.7,"2005","1997",39
"192",212.26,178.92,"sntl_471","Emigrant Summit",471,"Idaho","SNOTEL","Bear Lake",7390,42.36055,-111.56085,160102020206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.3,62,67,65,71,100,42,44,-4.3,8,35,4,"",16.6,15.3,15.86,14.6,8.1,32.2,"1992","1997",38
"193",210.52,185.48,"sntl_484","Franklin Basin",484,"Idaho","SNOTEL","Franklin",8140,42.0505,-111.6012,160102020501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.5,63,66,64,68,100,38,40,-5.4,12,38,6,"",18.3,17.4,17.95,16.9,8.6,31.4,"1981","2017",43
"194",169.85,137.61,"sntl_489","Galena",489,"Idaho","SNOTEL","Blaine",7470,43.87722,-114.6725,170402190101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,75,78,77,82,100,52,55,-2,26,29,11,"",12.1,11.7,11.85,11.1,5.1,26.4,"1991","1997",39
"195",169.21,137.54,"sntl_490","Galena Summit",490,"Idaho","SNOTEL","Blaine",8780,43.87497,-114.71363,170402190101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.3,82,88,82,90,100,52,54,-1.2,30,27,10,"",13.7,12.8,13.78,12.5,6.1,28.9,"1991","1997",38
"196",180.12,145.53,"sntl_492","Garfield R.S.",492,"Idaho","SNOTEL","Blaine",6560,43.6104,-113.9308,170402210301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,86,84,89,90,100,61,64,-0.7,45,23,17,"",7.2,7.4,6.96,6.9,2.2,12.9,"1987, 1991","1997",41
"197",218.66,178.8,"sntl_493","Giveout",493,"Idaho","SNOTEL","Bear Lake",6930,42.4132,-111.1663,160102010401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,75,81,75,81,100,54,56,-1.3,28,29,12,"",7.3,6.8,7.33,6.8,3.5,13.1,"2018","2017",40
"198",160.98,134.12,"sntl_496","Graham Guard Sta.",496,"Idaho","SNOTEL","Elmore",5690,43.9538,-115.27387,170501110303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.2,89,89,90,96,99,67,69,-0.4,45,23,18,"",10.3,10.3,10.21,9.6,4.1,16.6,"2013","1983",41
"199",166.73,79.33,"sntl_520","Hemlock Butte",520,"Idaho","SNOTEL","Clearwater",5810,46.48111,-115.63361,170603070601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",29,92,93,92,93,100,61,61,-2.25,35,25,14,"",31.4,31.3,31.4,31.25,17.3,51.7,"2005","1997",38
"200",161.48,25.06,"sntl_988","Hidden Lake",988,"Idaho","SNOTEL","Boundary",5040,48.8937,-116.75748,170101040502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",24.4,101,94,104,106,99,67,68,1.3,55,10,12,"",24.2,26,23.47,23.1,11.1,31.5,"2001","2006",21
"201",188.81,138.13,"sntl_524","Hilts Creek",524,"Idaho","SNOTEL","Custer",8000,44.01897,-113.4723,170402170401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.6,77,77,78,78,99,49,50,-1.9,21,31,9,"",8.6,8.6,8.51,8.5,3.1,15.6,"1991","1997",39
"202",179.79,174.08,"sntl_534","Howell Canyon",534,"Idaho","SNOTEL","Cassia",7980,42.32029,-113.61587,170402090602,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.1,77,81,75,79,100,48,49,-3.5,25,31,11,"",17,16.1,17.58,16.6,5.1,36.9,"1981","1997",41
"203",169.31,56.7,"sntl_535","Humboldt Gulch",535,"Idaho","SNOTEL","Shoshone",4250,47.53178,-115.77643,170103020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.9,145,158,144,149,99,108,119,4.6,89,5,34,"",9.6,8.8,9.67,9.3,1.3,20.6,"2005","2008",38
"204",177.03,142.71,"sntl_537","Hyndman",537,"Idaho","SNOTEL","Blaine",7620,43.71077,-114.15894,170402190402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.6,88,89,90,94,100,58,61,-0.5,48,22,20,"",8.6,8.5,8.43,8.1,3.4,20.5,"1987","1997",41
"205",222.26,135.11,"sntl_546","Island Park",546,"Idaho","SNOTEL","Fremont",6290,44.4203,-111.38512,170402020601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10,88,94,89,94,100,64,66,-0.6,46,22,18,"",11.4,10.6,11.26,10.6,6.3,19.6,"2001","1997",40
"206",158.82,131.52,"sntl_550","Jackson Peak",550,"Idaho","SNOTEL","Boise",7070,44.05092,-115.44322,170501200304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",17.7,92,91,95,98,100,61,63,-0.3,47,21,18,"",19.3,19.5,18.71,18,10.4,36,"1991","1997",39
"207",182.87,79.23,"sntl_588","Lolo Pass",588,"Idaho","SNOTEL","Idaho",5240,46.63448,-114.58072,170102051401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18,87,93,89,93,100,62,63,-1.4,36,24,14,"",20.6,19.4,20.3,19.4,10.2,35.9,"2005","1997",37
"208",152.34,113.77,"sntl_1016","Long Valley",1016,"Idaho","SNOTEL","Valley",4890,44.78835,-116.08878,170501230206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.7,117,117,127,131,100,98,103,1.8,63,8,13,"",6.6,6.6,6.09,5.9,0,12.9,"2015","2008",20
"209",164.63,65.64,"sntl_600","Lost Lake",600,"Idaho","SNOTEL","Shoshone",6110,47.0809,-115.9604,170603080101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",33.9,86,84,90,97,100,60,61,-1.2,42,23,17,"",39.3,40.2,37.67,35.1,20,70.7,"2001","1997",39
"210",175.88,139.98,"sntl_601","Lost-Wood Divide",601,"Idaho","SNOTEL","Blaine",7900,43.82432,-114.26402,170402190304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.3,74,76,76,84,100,49,54,-2,29,28,12,"",13.9,13.6,13.59,12.3,5,37,"1991","1997",39
"211",168.69,175.06,"sntl_610","Magic Mountain",610,"Idaho","SNOTEL","Twin Falls",6880,42.18072,-114.28662,170402120601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,64,65,65,66,100,46,45,-4.7,13,36,5,"",14.2,13.9,13.95,13.8,7.3,24.9,"1987","1997",41
"212",192.82,129.63,"sntl_620","Meadow Lake",620,"Idaho","SNOTEL","Lemhi",9150,44.43655,-113.31815,170602040101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.5,70,75,70,74,100,40,44,-2.7,17,31,6,"",10.7,10,10.66,10.2,6.4,20.9,"1994","1997",37
"213",160.49,63.22,"sntl_623","Mica Creek",623,"Idaho","SNOTEL","Shoshone",4510,47.15045,-116.26643,170103040604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.8,84,89,88,94,98,64,69,-1.05,34,20,11,"",18.9,17.8,17.86,16.85,7.9,36.7,"2005","1997",30
"214",175.14,125.48,"sntl_627","Mill Creek Summit",627,"Idaho","SNOTEL","Custer",8800,44.47212,-114.48992,170602010501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.4,68,74,67,70,100,42,44,-4.1,9,33,4,"",13.8,12.7,14.03,13.5,6.6,28.6,"1994","1997",36
"215",191.52,129.88,"sntl_636","Moonshine",636,"Idaho","SNOTEL","Lemhi",7440,44.4147,-113.39812,170402170201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.1,100,108,99,105,100,67,71,0.35,59,17,24,"",7.1,6.6,7.18,6.75,4.1,13.9,"2001","1997",40
"216",154.89,133.34,"sntl_637","Mores Creek Summit",637,"Idaho","SNOTEL","Boise",6100,43.932,-115.66588,170501110503,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",20,92,91,94,98,100,64,63,-0.5,47,21,18,"",21.7,21.9,21.39,20.5,10.5,37.6,"2013","1997",39
"217",180.04,118.24,"sntl_639","Morgan Creek",639,"Idaho","SNOTEL","Lemhi",7600,44.84237,-114.26871,170602030901,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.9,74,80,75,79,100,51,54,-1.55,28,29,11,"",8,7.4,7.83,7.45,4.9,16,"1994, 2003","1997",40
"218",150.34,68.62,"sntl_989","Moscow Mountain",989,"Idaho","SNOTEL","Latah",4700,46.805,-116.8535,170603061002,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.1,90,94,99,101,99,74,75,0.1,55,10,12,"",16.7,16.1,15.2,15,5.8,27.4,"2005","2002",21
"219",165.14,44.24,"sntl_645","Mosquito Ridge",645,"Idaho","SNOTEL","Shoshone",5260,48.05726,-116.23055,170103010101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",20.7,82,80,84,88,99,57,61,-2.95,31,28,13,"",25.2,26,24.6,23.65,13.2,39.4,"2001","1997",40
"220",169.26,97.18,"sntl_650","Mountain Meadows",650,"Idaho","SNOTEL","Idaho",6320,45.69694,-115.22972,170603020301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.6,99,99,97,100,100,60,63,0,50,21,20,"",14.7,14.8,15,14.6,8.5,22.8,"1981","1997",41
"221",135.04,158.74,"sntl_654","Mud Flat",654,"Idaho","SNOTEL","Owyhee",5730,42.6004,-116.55925,170501041401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,53,54,59,58,100,46,44,-2.3,18,33,7,"",6,5.9,5.42,5.5,0,9.2,"2015","1986",40
"222",164.86,29.56,"sntl_1053","Myrtle Creek",1053,"Idaho","SNOTEL","Boundary",3520,48.72263,-116.46312,170101040701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.1,89,93,96,93,84,68,72,-0.3,35,12,7,"",4.6,4.4,4.28,4.4,0.3,7.9,"2005","2008",18
"223",203.01,179.58,"sntl_677","Oxford Spring",677,"Idaho","SNOTEL","Oneida",6740,42.26015,-112.12515,160102040206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.4,64,66,65,70,100,49,53,-2.3,18,34,6,"",8.4,8.2,8.25,7.7,2,18.9,"2018","1997",41
"224",164.41,78.51,"sntl_1142","Pierce R.S.",1142,"Idaho","SNOTEL","Clearwater",3080,46.49597,-115.7957,170603060401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.7,NA,NA,97,96,99,68,60,-0.25,45,7,6,"",NA,NA,6.92,6.95,3.2,10.1,"2015","2011",12
"225",221.96,153.8,"sntl_695","Pine Creek Pass",695,"Idaho","SNOTEL","Teton",6720,43.56998,-111.21157,170402040101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.4,101,109,99,100,100,71,71,0,50,17,17,"",11.3,10.5,11.46,11.4,7,20.3,"1992","1997",33
"226",154.41,142.73,"sntl_704","Prairie",704,"Idaho","SNOTEL","Elmore",4800,43.50513,-115.573,170501131103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.5,100,100,102,100,94,82,79,0,56,16,18,"",4.5,4.5,4.4,4.5,0,8.3,"1992","2017",35
"227",133.89,143.12,"sntl_2029","Reynolds Creek",2029,"Idaho","SNOTEL","Owyhee",5600,43.28863,-116.8431,170501030604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,84,114,96,102,100,69,84,0.05,53,10,11,"",3.8,2.8,3.32,3.15,0,9.4,"2005, 2007, 2018, more","2016",20
"228",181.39,82.64,"sntl_735","Savage Pass",735,"Idaho","SNOTEL","Idaho",6190,46.46633,-114.63333,170603030208,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.8,94,95,93,97,100,62,65,-0.6,37,25,15,"",17.9,17.7,18.04,17.4,10.3,30.2,"2005","1997",39
"229",186.58,119.41,"sntl_915","Schwartz Lake",915,"Idaho","SNOTEL","Lemhi",8630,44.84618,-113.83732,170602040604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6,85,86,83,86,100,49,48,-0.95,28,19,6,"",7.1,7,7.25,6.95,4.3,12.2,"2002","1997",26
"230",160.75,36.31,"sntl_738","Schweitzer Basin",738,"Idaho","SNOTEL","Bonner",6090,48.37428,-116.63917,170102150502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",31.3,91,94,92,93,98,60,62,-2.2,42,23,17,"",34.5,33.3,34.15,33.5,13.9,62.7,"2001","1999",39
"231",155.92,105.66,"sntl_740","Secesh Summit",740,"Idaho","SNOTEL","Valley",6540,45.18848,-115.97152,170501230101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.2,86,91,88,93,100,58,59,-1.55,31,28,13,"",22.4,21.2,21.89,20.75,11.1,38.1,"2001","1997",40
"232",206.63,174.34,"sntl_741","Sedgwick Peak",741,"Idaho","SNOTEL","Bannock",7850,42.52497,-111.95635,170402080209,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,63,61,65,68,100,41,42,-4,6,31,3,"",13.5,13.9,13.09,12.5,6.7,27.5,"1992","1997",33
"233",165.51,77.2,"sntl_747","Shanghi Summit",747,"Idaho","SNOTEL","Clearwater",4600,46.56603,-115.74216,170603060402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.7,101,106,105,109,100,76,80,1.55,65,14,25,"",19.6,18.5,18.85,18.15,5.7,30.9,"2005","1997",38
"234",213.3,160.31,"sntl_749","Sheep Mtn.",749,"Idaho","SNOTEL","Bingham",6650,43.2103,-111.68792,170402050304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,84,82,86,88,100,62,59,-1.1,27,28,11,"",9.9,10.1,9.7,9.4,4.4,18.8,"1992","1997",38
"235",158.51,67.21,"sntl_752","Sherwin",752,"Idaho","SNOTEL","Latah",3200,46.95028,-116.33972,170103040703,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,94,99,99,101,100,78,78,0.1,51,19,20,"",8.8,8.4,8.36,8.2,1.6,16.2,"2015","2008",38
"236",217.11,175.25,"sntl_761","Slug Creek Divide",761,"Idaho","SNOTEL","Caribou",7225,42.56248,-111.29797,170402070201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.7,90,97,88,95,100,58,63,-0.5,45,23,19,"",10.8,10,11.05,10.2,5.8,20.2,"1987, 1992","1997",41
"237",182.09,143.32,"sntl_926","Smiley Mountain",926,"Idaho","SNOTEL","Custer",9520,43.72718,-113.83402,170402180102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.7,60,62,66,70,100,37,38,-3.3,0,20,1,"Lowest",12.9,12.5,11.63,11,7.7,21.1,"2021","2017",20
"238",165.8,145.53,"sntl_769","Soldier R.S.",769,"Idaho","SNOTEL","Camas",5740,43.48407,-114.82692,170402200303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.2,76,80,79,83,95,62,61,-1.5,38,22,14,"",9.5,9,9.08,8.7,2.9,18,"2018","1997",35
"239",217.51,166.69,"sntl_770","Somsen Ranch",770,"Idaho","SNOTEL","Caribou",6800,42.95275,-111.35933,170402070101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.1,86,85,88,88,100,63,63,-1.1,35,27,15,"",9.4,9.5,9.23,9.2,4.7,16.9,"1992","1997",41
"240",130.52,154.07,"sntl_774","South Mtn.",774,"Idaho","SNOTEL","Owyhee",6500,42.76478,-116.90037,170501080205,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,59,62,65,72,100,45,46,-3.3,23,31,10,"",14.1,13.3,12.74,11.6,3,25,"2018","1989",40
"241",149.87,113.63,"sntl_782","Squaw Flat",782,"Idaho","SNOTEL","Adams",6240,44.77091,-116.24805,170501240401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.8,91,98,94,99,100,60,58,-0.1,49,21,20,"",15.2,14.1,14.73,13.9,5.9,27.7,"1991","1999",40
"242",176.88,139.35,"sntl_792","Stickney Mill",792,"Idaho","SNOTEL","Custer",7430,43.86117,-114.20902,170402180303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.8,86,89,86,89,100,55,56,-0.6,38,26,16,"",5.6,5.4,5.6,5.4,1.9,11.7,"1991","1997",41
"243",168.73,56.05,"sntl_803","Sunset",803,"Idaho","SNOTEL","Shoshone",5540,47.55545,-115.82422,170103020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.1,76,75,75,77,98,50,52,-4,29,28,11,"",17.2,17.4,17.44,17.1,7.4,34.8,"2005","1997",39
"244",179.6,145.09,"sntl_805","Swede Peak",805,"Idaho","SNOTEL","Blaine",7640,43.626,-113.96887,170402210301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.7,74,74,78,81,100,49,55,-1.85,33,27,14,"",10.4,10.4,9.92,9.55,3,21.9,"1987","1997",40
"245",157.03,140.52,"sntl_830","Trinity Mtn.",830,"Idaho","SNOTEL","Elmore",7770,43.62903,-115.43818,170501110703,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",20.4,78,77,81,89,100,52,53,-2.5,30,29,13,"",26.3,26.4,25.25,22.9,13.1,55.8,"1991","1997",41
"246",182.78,90.05,"sntl_835","Twelvemile Creek",835,"Montana","SNOTEL","Ravalli",5600,46.14287,-114.44755,170102050601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.9,103,107,96,99,97,69,72,-0.1,49,28,27,"",12.5,12.1,13.43,13,5.6,25.6,"1981","1972",54
"247",181.92,89.86,"sntl_836","Twin Lakes",836,"Montana","SNOTEL","Ravalli",6400,46.1438,-114.5056,170102050601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",26.1,95,99,90,96,100,62,62,-1.2,36,35,20,"",27.6,26.4,29.12,27.3,12,48.4,"1977","1972",54
"248",146.71,121.71,"sntl_979","Van Wyck",979,"Idaho","SNOTEL","Washington",4920,44.37665,-116.3366,170501240902,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.7,66,59,82,81,100,65,74,-1.3,37,13,8,"",8.6,9.6,6.94,7,0,14.2,"2015","2008",20
"249",166.75,138.72,"sntl_845","Vienna Mine",845,"Idaho","SNOTEL","Blaine",8960,43.79942,-114.85273,170602010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18.4,84,88,83,89,100,53,53,-2.35,31,28,13,"",21.9,20.8,22.19,20.75,12.3,46.1,"1994","1997",40
"250",148.16,106.56,"sntl_855","West Branch",855,"Idaho","SNOTEL","Adams",5560,45.0722,-116.45413,170501240201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.9,99,101,103,102,100,72,72,0.35,56,18,23,"",16,15.7,15.46,15.55,8.7,26.6,"2001","1999",40
"251",222.26,132.63,"sntl_860","White Elephant",860,"Idaho","SNOTEL","Fremont",7710,44.53267,-111.41085,170402020305,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.8,73,78,75,82,100,46,48,-3,15,34,7,"",19,17.7,18.4,16.8,10.1,42.7,"1987","1997",40
"252",199.32,167.94,"sntl_867","Wildhorse Divide",867,"Idaho","SNOTEL","Bannock",6490,42.75743,-112.47783,170402080504,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7,60,68,62,69,100,43,45,-3.1,14,32,4,"",11.7,10.3,11.31,10.1,5.4,21,"2018","1997",37
"253",217.76,108.47,"sntl_916","Albro Lake",916,"Montana","SNOTEL","Madison",8300,45.59723,-111.95902,100200050701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,74,74,76,83,100,40,42,-1.9,8,23,3,"",12.1,12.1,11.9,10.9,7.6,21.8,"2005","1997",25
"254",211.55,51.84,"sntl_307","Badger Pass",307,"Montana","SNOTEL","Pondera",6900,48.13088,-113.02317,100302010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23.9,108,116,108,109,100,65,70,1.9,66,15,28,"",22.1,20.6,22.15,22,11.9,35.4,"2001","1990, 1999",42
"255",178.64,35.81,"sntl_311","Banfield Mountain",311,"Montana","SNOTEL","Lincoln",5600,48.5712,-115.44573,170101011202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.6,89,94,86,93,100,59,63,-0.9,37,34,20,"",13.1,12.3,13.5,12.5,4.5,24.6,"1977","1974",53
"256",202.14,94.73,"sntl_313","Barker Lakes",313,"Montana","SNOTEL","Deer Lodge",8250,46.09713,-113.13038,170102010304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.5,104,109,102,106,100,53,56,0.5,63,16,27,"",9.1,8.7,9.27,9,6.1,15.1,"2000, 2005","2018",42
"257",210.09,102.74,"sntl_315","Basin Creek",315,"Montana","SNOTEL","Silver Bow",7180,45.79737,-112.52047,170102010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.1,82,84,79,82,100,40,41,-0.9,25,31,9,"",5,4.9,5.18,5,2.4,8.4,"1991","1995",41
"258",198.08,129.82,"sntl_318","Beagle Springs",318,"Montana","SNOTEL","Beaverhead",8850,44.47147,-112.98191,100200010501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.6,79,84,78,84,100,42,42,-0.9,17,36,6,"",5.8,5.5,5.88,5.5,2.9,9.9,"1981","1997",43
"259",224.51,123.83,"sntl_328","Beaver Creek",328,"Montana","SNOTEL","Gallatin",7850,44.94966,-111.35852,100200070402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,75,75,73,73,100,44,45,-3.4,19,45,8,"",12.2,12.1,12.52,12.5,7,24.3,"1977","1997",55
"260",195.69,58.67,"sntl_346","Bisson Creek",346,"Montana","SNOTEL","Lake",4920,47.68389,-113.99901,170102120602,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.3,89,90,90,98,100,59,64,-0.1,45,17,13,"",7.1,7,6.98,6.4,3.4,15.2,"2005","1997",30
"261",198.92,87.16,"sntl_349","Black Pine",349,"Montana","SNOTEL","Granite",7210,46.414,-113.43095,170102020203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,112,122,103,106,100,64,69,0.5,55,26,31,"",7.4,6.8,8.03,7.8,4,13.2,"1977, 2005","1996",56
"262",191.78,51.36,"sntl_1144","Blacktail Mtn",1144,"Montana","SNOTEL","Flathead",5650,47.98288,-114.3543,170102080302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.3,NA,NA,81,86,99,52,54,-1.2,0,11,1,"Lowest",NA,NA,8.98,8.5,7.3,14.5,"2021","2011",11
"263",192.93,113.57,"sntl_355","Bloody Dick",355,"Montana","SNOTEL","Beaverhead",7600,45.16507,-113.50099,100200011002,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7,84,86,83,82,100,54,55,-1.5,30,32,14,"",8.3,8.1,8.39,8.5,3.4,15.7,"1977","1997",45
"264",231.15,89.57,"sntl_360","Boulder Mountain",360,"Montana","SNOTEL","Meagher",7950,46.5596,-111.28973,100301030501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.6,107,108,105,106,100,64,64,0.8,67,15,28,"",13.7,13.5,13.92,13.8,8.1,20.9,"2005","1997",43
"265",242.41,119.56,"sntl_363","Box Canyon",363,"Montana","SNOTEL","Park",6670,45.2719,-110.24903,100700020902,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.7,84,90,83,92,98,54,56,-0.5,26,32,11,"",6.8,6.3,6.9,6.2,3.9,13,"2010","1997",43
"266",234.08,104.69,"sntl_365","Brackett Creek",365,"Montana","SNOTEL","Gallatin",7320,45.89107,-110.93851,100700030403,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.3,98,106,92,99,99,52,54,-0.2,42,16,12,"",13.6,12.5,14.52,13.5,8,23.5,"2012","1997",27
"267",254.26,122,"sntl_981","Burnt Mtn",981,"Montana","SNOTEL","Carbon",5880,45.2401,-109.45961,100700060802,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,87,84,74,78,100,43,44,-0.75,32,14,7,"",3,3.1,3.51,3.35,0.5,6.7,"2005","2014",20
"268",198.4,98.74,"sntl_381","Calvert Creek",381,"Montana","SNOTEL","Deer Lodge",6430,45.8838,-113.32553,100200040801,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,87,92,86,91,100,62,64,-0.55,36,30,15,"",6.3,6,6.38,6.05,2.8,13.7,"1977","1997",46
"269",225.54,123.72,"sntl_385","Carrot Basin",385,"Montana","SNOTEL","Gallatin",9000,44.96192,-111.29403,100200080105,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.7,85,88,82,87,100,49,46,-2.4,26,41,15,"",18.5,17.9,19.05,18.1,7.8,33.4,"1977","1997",55
"270",217.37,121.14,"sntl_403","Clover Meadow",403,"Montana","SNOTEL","Madison",8600,45.01788,-111.8456,100200070803,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,80,85,83,87,100,46,50,-1.4,21,34,10,"",11.2,10.6,10.84,10.4,7.6,16.7,"2017","1997",43
"271",255.84,123.23,"sntl_407","Cole Creek",407,"Montana","SNOTEL","Carbon",7850,45.19405,-109.34548,100700060801,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8,89,91,86,91,98,39,41,-0.8,43,27,20,"",9,8.8,9.34,8.8,4.3,14.8,"2002","1976",47
"272",199.68,86.18,"sntl_410","Combination",410,"Montana","SNOTEL","Granite",5600,46.46523,-113.39358,170102020401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.1,117,117,109,114,95,73,77,0.5,69,16,33,"",3.5,3.5,3.77,3.6,1,6.4,"2005","1975",49
"273",213.7,75.73,"sntl_413","Copper Bottom",413,"Montana","SNOTEL","Lewis And Clark",5200,47.05678,-112.595,170102030103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.1,NA,NA,70,72,100,52,54,-2,17,36,8,"",NA,NA,7.3,7.1,0,14.6,"2005","1997",43
