"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Diamond Lake",442,"Oregon","SNOTEL","Douglas",5280,43.18787,-122.14003,171003010204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.4,87,82,92,99,98,64,58,-0.15,49,21,19,"",12,12.7,11.3,10.55,0,27.9,"2015","1999",40
"Diamond Peak",443,"Nevada","SNOTEL","Eureka",8017,39.56361,-115.84421,160600051503,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.2,91,86,93,93,100,60,61,-0.3,43,22,16,"",4.6,4.9,4.49,4.5,0.3,11,"2015","1984",38
"Dills Camp",444,"Utah","SNOTEL","Sanpete",9228,39.04554,-111.46875,140700020201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.9,53,60,54,61,100,34,41,-3.15,10,38,5,"",9.3,8.1,9.05,8.05,3,17.8,"2018","1997",42
"Disaster Peak",445,"Nevada","SNOTEL","Humboldt",6260,41.96737,-118.18934,160402010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.2,58,63,65,75,100,48,48,-1.4,38,25,15,"",7.3,6.7,6.48,5.6,0,18.6,"2007, 2015, 2018, more","1984",40
"Dismal Swamp",446,"California","SNOTEL","Modoc",7360,41.99127,-120.18033,171200070304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.6,83,87,85,89,100,53,53,-2.1,43,24,17,"",20,19.1,19.47,18.7,6.4,31.2,"2014","2006",41
"Divide",448,"Montana","SNOTEL","Madison",7800,44.79317,-112.05645,100200030102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.2,62,61,63,63,100,34,35,-2.5,2,45,2,"2nd Lowest",6.8,6.9,6.63,6.7,3.6,11.5,"1977","1997",46
"Divide Peak",449,"Wyoming","SNOTEL","Carbon",8880,41.30398,-107.15241,140500030203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10,75,73,77,75,100,46,47,-3.3,20,33,7,"",13.3,13.7,12.93,13.3,5.3,20.2,"2015","1997",41
"Dollarhide Summit",450,"Idaho","SNOTEL","Blaine",8420,43.6025,-114.67417,170402190201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.2,NA,NA,98,103,100,61,66,0.5,59,17,23,"",NA,NA,16.52,15.7,7.1,31.8,"1991","1997",40
"Dome Lake",451,"Wyoming","SNOTEL","Sheridan",8880,44.57462,-107.29537,100901010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.4,95,99,95,97,100,51,55,-0.2,43,25,18,"",7.8,7.5,7.79,7.6,3.1,11.1,"2016","1990",43
"Donkey Reservoir",452,"Utah","SNOTEL","Wayne",9799,38.2084,-111.47412,140700030305,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.4,65,76,68,72,100,40,43,-1.3,20,29,8,"",5.2,4.5,5.02,4.7,1.2,10.8,"2018","1987",36
"Dorsey Basin",453,"Nevada","SNOTEL","Elko",7903,40.89343,-115.21104,160401010604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.8,65,64,66,67,100,41,45,-3.4,19,35,9,"",10.5,10.6,10.28,10.2,4.4,22.5,"2018","1984",43
"Draw Creek",454,"Nevada","SNOTEL","Elko",7332,41.661,-115.3234,160401010403,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.3,73,76,76,83,100,53,50,-1.3,41,23,16,"",8.6,8.3,8.33,7.6,2.3,20.3,"2018","1997",38
"Dry Bread Pond",455,"Utah","SNOTEL","Cache",8302,41.41289,-111.5377,160102030101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,61,63,61,62,100,40,43,-5.2,21,34,10,"",14,13.5,13.86,13.7,5.5,28.5,"1981","1997",43
"Dry Creek",1243,"Nevada","SNOTEL","Elko",6555,40.8638,-115.22014,160401010601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.5,NA,NA,89,81,97,63,64,-0.8,43,5,4,"",NA,NA,3.94,4.3,0.3,7.3,"2015, 2018","2017",8
"Dry Fork",906,"Utah","SNOTEL","Salt Lake",7093,40.56533,-112.17343,160202040106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.2,55,54,51,49,100,33,33,-5.4,4,26,2,"2nd Lowest",9.5,9.7,10.12,10.6,4.6,18.2,"2018","2020",27
"Dry Lake",457,"Colorado","SNOTEL","Routt",8400,40.53397,-106.7813,140500010409,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.2,80,84,80,82,100,52,53,-2.7,20,33,9,"",15.2,14.6,15.19,14.9,5.6,24.4,"1981","1997",41
"Dungeness",943,"Washington","SNOTEL","Clallam",4010,47.87224,-123.0788,171100200301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.2,124,155,119,134,96,74,83,2.1,73,7,17,"",6.6,5.3,6.87,6.1,0,19.8,"2005, 2015","1999",23
"Dupuyer Creek",458,"Montana","SNOTEL","Teton",5750,48.06341,-112.7573,100302010501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,51,58,54,59,100,32,33,-2.2,19,31,8,"",6.3,5.5,5.95,5.4,0.7,16,"2005","1991",38
"EF Blacks Fork GS",1163,"Utah","SNOTEL","Summit",9360,40.88472,-110.54056,140401070302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5,NA,NA,67,82,100,36,40,-1.1,20,9,3,"",NA,NA,7.43,6.1,3.9,12.5,"2012, 2014","2017",11
"East Boulder Mine",1105,"Montana","SNOTEL","Sweet Grass",6335,45.50381,-110.08019,100700020701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,NA,NA,91,89,100,49,50,-0.4,42,8,6,"",NA,NA,3.5,3.6,0.4,6.1,"2015","2018",13
"East Palmer",953,"Alaska","SNOTEL","Matanuska-Susitna",230,61.59858,-149.09637,190204020709,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.3,NA,NA,137,137,87,48,48,0.35,100,1,2,"2nd Lowest",NA,NA,0.95,0.95,0.6,1.3,"2020","2021",2
"East Rim Divide",460,"Wyoming","SNOTEL","Sublette",7930,43.13097,-110.2023,170401030203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.5,87,92,81,86,100,54,59,-1.05,26,27,10,"",7.5,7.1,8.04,7.55,3.7,15.3,"1994, 2010","2017",36
"East Willow Creek",461,"Utah","SNOTEL","Grand",8302,39.31213,-109.53179,140600060205,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.1,54,61,55,67,100,36,38,-1.5,18,29,6,"",5.7,5.1,5.64,4.6,1.8,12.4,"2006","1993",35
"Easy Pass",998,"Washington","SNOTEL","Whatcom",5270,48.85933,-121.43895,171100010101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",77.6,NA,NA,121,111,100,77,75,7.75,91,2,11,"2nd Highest",NA,NA,64.3,69.85,31.5,81.4,"2015","2012",12
"Ebbetts Pass",462,"California","SNOTEL","Alpine",8661,38.5497,-119.80468,160502010104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.5,81,83,82,92,100,50,56,-1.8,40,26,18,"",24,23.4,23.91,21.3,5,61.9,"1991","2017",43
"Echo Lake",936,"Colorado","SNOTEL","Clear Creek",10600,39.65627,-105.59345,101900020801,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.7,66,75,70,69,96,28,30,-1.2,27,17,6,"",4.1,3.6,3.86,3.9,1,8.6,"2013","2007",23
"Echo Peak",463,"California","SNOTEL","El Dorado",7653,38.849,-120.0795,160501010303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23.6,81,83,84,93,100,55,58,-1.7,43,24,18,"",29.1,28.4,28.26,25.3,6,58.2,"2012","2017",41
"Eilertson Meadows",464,"Oregon","SNOTEL","Baker",5510,44.86887,-118.11387,170502030404,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.9,110,103,111,100,99,82,87,0,50,21,21,"",8.1,8.6,8.02,8.9,1.7,13.1,"1981","1982",41
"El Diente Peak",465,"Colorado","SNOTEL","Dolores",10000,37.78617,-108.02155,140300020202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,83,92,85,90,100,54,57,-0.9,38,22,14,"",10,9,9.8,9.2,3.2,19,"1990","1997",35
"Elbow Lake",910,"Washington","SNOTEL","Whatcom",3040,48.69092,-121.90893,171100040401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",34.2,124,110,133,129,100,87,84,7.7,72,8,19,"",27.6,31.1,25.65,26.5,0,50,"2015","2008",26
"Elk Butte",466,"Idaho","SNOTEL","Clearwater",5690,46.83998,-116.12233,170603080701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",24.3,92,95,93,100,100,65,68,-0.1,47,21,19,"",26.5,25.7,26,24.4,12.5,47.7,"2005","1997",39
"Elk Cabin",921,"New Mexico","SNOTEL","Santa Fe",8210,35.7043,-105.80675,130202010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.6,19,14,24,19,35,17,16,-2.5,33,17,7,"",3.2,4.2,2.52,3.1,0,5,"1999, 2006, 2018","2005, 2010",25
"Elk Peak",1106,"Montana","SNOTEL","Meagher",7600,46.4845,-110.7125,100402010203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,NA,NA,57,58,100,33,38,-6.7,0,13,1,"Lowest",NA,NA,15.95,15.8,9.1,25.4,"2021","2018",13
"Elk River",467,"Colorado","SNOTEL","Routt",8700,40.84781,-106.96871,140500010206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.6,82,82,81,83,100,51,52,-2.1,24,33,11,"",12.9,12.9,13.01,12.7,5.4,23.2,"1981","1997",43
"Elkhart Park G.S.",468,"Wyoming","SNOTEL","Sublette",9400,43.00657,-109.75893,140401020103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.7,79,83,78,82,100,49,50,-1.5,15,35,6,"",8.5,8.1,8.57,8.2,4.6,15.7,"1988","1997",41
"Elkhead Divide",1252,"Colorado","SNOTEL","Routt",8780,40.79649,-107.10122,140500010601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.8,NA,NA,71,71,100,46,43,-4.1,25,4,2,"2nd Lowest",NA,NA,13.78,13.9,8.3,20.5,"2018","2017",5
"Elliot Ridge",1120,"Colorado","SNOTEL","Summit",10520,39.864,-106.4246,140100020602,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12,NA,NA,97,100,100,54,52,0,55,6,6,"",NA,NA,12.37,12,8.4,17.7,"2010, 2012","2020",12
"Emery Creek",469,"Montana","SNOTEL","Flathead",4350,48.43412,-113.93725,170102090703,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.9,93,93,93,95,96,65,66,-0.5,43,26,20,"",10.7,10.6,10.67,10.4,5.7,17.9,"1977","1997",45
"Emigrant Springs",470,"Oregon","SNOTEL","Umatilla",3800,45.55808,-118.45383,170701030501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1,18,19,19,21,67,13,16,-3.7,13,36,6,"",5.7,5.3,5.21,4.7,0,14.9,"1992, 2015, 2018","1989",41
"Emigrant Summit",471,"Idaho","SNOTEL","Bear Lake",7390,42.36055,-111.56085,160102020206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.3,62,67,65,71,100,42,44,-4.3,8,35,4,"",16.6,15.3,15.86,14.6,8.1,32.2,"1992","1997",38
"Evening Star",472,"Wyoming","SNOTEL","Park",9200,44.65258,-109.78422,100700060301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",20.6,112,121,107,114,100,68,72,2.5,66,14,26,"",18.4,17,19.34,18.1,9.6,34.3,"2001","1997",39
"Exit Glacier",1092,"Alaska","SNOTEL","Kenai Peninsula",400,60.19033,-149.62117,190202020508,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",17.3,NA,124,177,220,90,124,144,9.45,89,2,9,"2nd Highest",NA,14,9.79,7.85,2.4,21.6,"2015","2012",10
"Fallen Leaf",473,"California","SNOTEL","El Dorado",6242,38.93403,-120.0545,160501010401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7,119,119,120,122,100,85,100,1.25,62,16,24,"",5.9,5.9,5.83,5.75,0,14.5,"2007, 2015, 2018","1993",40
"Farmington",474,"Utah","SNOTEL","Davis",7902,40.97462,-111.80975,160201020502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.1,57,59,58,60,100,35,35,-8.7,12,38,6,"",22.8,22.3,22.47,21.8,11,42.9,"2018","1997",43
"Farmington Lower",1054,"Utah","SNOTEL","Davis",6779,40.992,-111.81702,160201020502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",15.5,15.2,15.12,15.6,5.5,26,"2018","2004",17
"Farnsworth Lake",475,"Utah","SNOTEL","Sevier",9623,38.77246,-111.67662,160300030405,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.7,66,69,65,69,100,34,35,-3.5,5,39,1,"Lowest",11.7,11.1,11.88,11.2,7.7,17.5,"2002, 2018, 2021","2016",41
"Fawn Creek",476,"Nevada","SNOTEL","Elko",7031,41.82098,-116.10153,170501040304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.8,65,70,68,71,100,42,42,-3.2,25,31,9,"",12,11.2,11.55,11,4.6,21.6,"2018","1984",41
"Fielding Lake",1268,"Alaska","SNOTEL","Valdez-Cordova",3000,63.20267,-145.6305,190803040302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.3,NA,NA,72,79,100,51,52,-1.4,17,6,2,"2nd Lowest",NA,NA,7.36,6.7,4.4,14.7,"2017","2020",7
"Fish Creek",477,"Oregon","SNOTEL","Harney",7660,42.70992,-118.6321,171200030107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18.9,96,105,99,102,100,57,62,0.45,56,19,22,"",19.6,18,19.14,18.45,8.5,31.9,"1991","1997",42
"Fish Lake",478,"Washington","SNOTEL","Kittitas",3430,47.53565,-121.08553,170300010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",25.4,102,108,109,112,100,81,83,2.75,70,12,27,"",24.8,23.5,23.39,22.65,7.7,41.9,"2005","1999",38
"Fish Lake Utah",1149,"Utah","SNOTEL","Sevier",8798,38.50455,-111.76693,140700030108,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.7,NA,NA,44,45,100,29,30,-3.3,10,10,2,"2nd Lowest",NA,NA,6.08,6,0.5,10.5,"2018","2020",11
"Fish Lk.",479,"Oregon","SNOTEL","Jackson",4660,42.3801,-122.34943,171003070801,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7,70,71,77,94,99,56,54,-0.45,38,25,15,"",10,9.8,9.14,7.45,0,19.1,"2015","2008",40
"Fisher Creek",480,"Montana","SNOTEL","Park",9100,45.06235,-109.94488,100700060202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23.9,100,107,94,101,100,60,64,0.3,54,26,29,"",23.8,22.3,25.49,23.6,13.3,44.5,"2001","1997",55
"Five Points Lake",481,"Utah","SNOTEL","Duchesne",10943,40.71785,-110.46721,140600030701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.8,69,73,69,75,100,39,40,-2.6,18,34,8,"",11.3,10.7,11.34,10.4,6.5,21.7,"2002","2005",41
"Flattop Mtn.",482,"Montana","SNOTEL","Flathead",6300,48.80225,-113.85713,170102070501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",33.7,105,112,103,110,100,69,72,3.2,59,22,31,"",32.2,30,32.73,30.5,16.1,48.8,"2001","1999",52
"Flower Mountain",1285,"Alaska","SNOTEL","Haines",2510,59.39617,-136.28123,190103031206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",31.4,NA,NA,173,194,100,154,156,15.25,100,1,4,"Highest",NA,NA,18.15,16.15,8.9,31.4,"2018","2021",4
"Fool Creek",1186,"Colorado","SNOTEL","Grand",11150,39.8687,-105.8675,140100010203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.8,NA,NA,81,79,100,46,43,-2.85,11,9,2,"2nd Lowest",NA,NA,13.31,13.65,8.6,16.9,"2013","2014",10
"Forestdale Creek",1049,"California","SNOTEL","Alpine",8017,38.68245,-119.9597,160502010301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18.3,73,73,81,79,100,50,54,-4.75,35,12,7,"",25,24.9,22.71,23.05,6.9,45.5,"2012","2017",18
"Fort Valley",1121,"Arizona","SNOTEL","Coconino",7350,35.26806,-111.74486,150200150102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.1,NA,NA,92,183,38,36,46,0.5,83,3,11,"",NA,NA,1.2,0.6,0,9.3,"2015, 2018, 2020, more","2010",13
"Fourmile Lake",483,"Oregon","SNOTEL","Klamath",5970,42.43933,-122.2288,180102030202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.2,59,56,66,67,100,47,45,-6.45,32,29,14,"",22.5,23.5,19.92,19.65,5.2,34.2,"2015","1996",42
"Franklin Basin",484,"Idaho","SNOTEL","Franklin",8140,42.0505,-111.6012,160102020501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.5,63,66,64,68,100,38,40,-5.4,12,38,6,"",18.3,17.4,17.95,16.9,8.6,31.4,"1981","2017",43
"Fredonyer Peak",1277,"California","SNOTEL","Lassen",7208,40.68799,-120.60805,180800030304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,NA,NA,88,100,98,47,47,0,50,3,3,"",NA,NA,7.08,6.2,1.7,11.6,"2018","2017",5
"Fremont Pass",485,"Colorado","SNOTEL","Summit",11400,39.37991,-106.19681,140100020301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.9,81,88,80,88,100,42,44,-1.2,18,34,8,"",11,10.1,11.08,10.1,6.3,18.1,"1981","2006",41
"Frisco Divide",486,"New Mexico","SNOTEL","Catron",8000,33.73646,-108.94502,150400040303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.5,16,17,19,21,42,14,16,-1.9,13,36,6,"",3.1,2.9,2.67,2.4,0,7.3,"2000, 2006, 2018, more","1983, 2010",41
"Frohner Meadow",487,"Montana","SNOTEL","Jefferson",6480,46.43545,-112.19277,100301011305,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.9,118,118,106,107,98,64,67,0.4,67,17,32,"",5,5,5.57,5.5,3.1,10.1,"2002","2018",49
"Frostbite Bottom",641,"Alaska","SNOTEL","Matanuska-Susitna",2700,61.74722,-149.2688,190205051202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,NA,NA,74,74,100,38,38,-3,0,2,1,"Lowest",NA,NA,11.5,11.5,8.5,14.5,"2021","2020",2
"Fry",488,"Arizona","SNOTEL","Coconino",7200,35.07297,-111.84374,150602020501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5,78,83,83,85,96,62,64,-0.9,40,25,17,"",6.4,6,6.05,5.9,0,15.1,"1996, 2006","2010",41
"Fry Canyon",1262,"Nevada","SNOTEL","Elko",6798,41.57022,-115.93645,160401020101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.8,NA,NA,26,20,62,16,16,-3.2,33,5,3,"",NA,NA,3.03,4,0,6.2,"2015","2017",7
"GBRC HQ",1221,"Utah","SNOTEL","Sanpete",8801,39.32019,-111.48827,160300040307,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.9,NA,NA,61,58,100,42,45,-4.2,13,8,2,"2nd Lowest",NA,NA,9.62,10.1,4.8,14,"2018","2017",9
"GBRC Meadows",1222,"Utah","SNOTEL","Sanpete",9858,39.30229,-111.45383,160300040307,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.9,NA,NA,59,60,99,34,36,-5.3,13,8,2,"2nd Lowest",NA,NA,13.28,13.2,7.7,21.5,"2018","2017",9
"Galena",489,"Idaho","SNOTEL","Blaine",7470,43.87722,-114.6725,170402190101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,75,78,77,82,100,52,55,-2,26,29,11,"",12.1,11.7,11.85,11.1,5.1,26.4,"1991","1997",39
"Galena AK",429,"Alaska","SNOTEL","Yukon-Koyukuk",410,64.69662,-156.71497,190902051104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4,NA,NA,85,93,100,60,60,-0.3,0,3,1,"Lowest",NA,NA,4.7,4.3,4,5.8,"2021","2020",3
"Galena Summit",490,"Idaho","SNOTEL","Blaine",8780,43.87497,-114.71363,170402190101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.3,82,88,82,90,100,52,54,-1.2,30,27,10,"",13.7,12.8,13.78,12.5,6.1,28.9,"1991","1997",38
"Gallegos Peak",491,"New Mexico","SNOTEL","Taos",9800,36.19446,-105.55795,130201010502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.6,75,76,77,82,98,50,54,-1.2,20,33,9,"",7.5,7.4,7.25,6.8,1.6,12,"2018","1984",41
"Garden City Summit",1114,"Utah","SNOTEL","Cache",7705,41.9215,-111.4693,160102010106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,NA,NA,70,78,100,45,47,-2.55,18,10,3,"",NA,NA,12.93,11.55,8.5,24.1,"2010","2017",12
"Gardner Peak",1066,"Utah","SNOTEL","Washington",8322,37.40083,-113.45988,150100080701,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.7,56,53,54,50,96,34,35,-4.7,19,14,4,"",8.4,8.8,8.65,9.4,3,17.9,"2018","2005",17
"Garfield R.S.",492,"Idaho","SNOTEL","Blaine",6560,43.6104,-113.9308,170402210301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,86,84,89,90,100,61,64,-0.7,45,23,17,"",7.2,7.4,6.96,6.9,2.2,12.9,"1987, 1991","1997",41
"Garita Peak",1173,"New Mexico","SNOTEL","Rio Arriba",10160,36.005,-106.54838,130202020201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.7,NA,NA,69,64,97,50,45,-2.1,25,4,2,"2nd Lowest",NA,NA,5.4,5.8,0.6,9.4,"2018","2017",5
"Garver Creek",918,"Montana","SNOTEL","Lincoln",4250,48.97523,-115.81915,170101030202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.6,103,110,98,100,100,71,73,0,52,26,27,"",7.4,6.9,7.72,7.6,3.8,14.4,"1984","1997",53
"George Creek",1151,"Utah","SNOTEL","Box Elder",8964,41.91562,-113.41154,170402100401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.5,NA,NA,56,61,100,31,32,-4.7,0,11,1,"Lowest",NA,NA,13.44,12.2,7.5,19.7,"2021","2019",11
"Gerber Reservoir",945,"Oregon","SNOTEL","Klamath",4890,42.2062,-121.1334,180102040508,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.6,32,43,47,55,55,25,26,-0.5,45,13,10,"",1.9,1.4,1.29,1.1,0,5.2,"2015, 2018, 2020, more","2008",23
"Giveout",493,"Idaho","SNOTEL","Bear Lake",6930,42.4132,-111.1663,160102010401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,75,81,75,81,100,54,56,-1.3,28,29,12,"",7.3,6.8,7.33,6.8,3.5,13.1,"2018","2017",40
"Glen Cove",1057,"Colorado","SNOTEL","Teller",11460,38.87583,-105.07367,110200030201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.5,19,19,21,20,56,7,9,-2,13,15,2,"2nd Lowest",2.6,2.7,2.41,2.5,0.3,6.7,"2013","2007",17
"Golconda",1195,"Nevada","SNOTEL","Humboldt",6616,40.88358,-117.58812,160401080102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.8,NA,NA,102,100,100,72,92,0,56,5,5,"",NA,NA,4.7,4.8,0,9.8,"2015","2016",10
"Gold Axe Camp",1159,"Washington","SNOTEL","Okanogan",5360,48.9516,-118.9864,170200021204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.7,NA,NA,149,165,99,105,99,4.6,90,2,10,"2nd Highest",NA,NA,7.86,7.1,4.2,12.1,"2014","2016",11
"Gold Center",494,"Oregon","SNOTEL","Grant",5410,44.7638,-118.3117,170702020202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,106,115,106,115,98,84,83,1.2,60,17,25,"",8.5,7.8,8.48,7.8,2.7,17,"1981","2006",41
"Gold Mountain",1256,"Washington","SNOTEL","Ferry",4390,48.18934,-118.4559,170200011703,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.4,NA,NA,141,136,98,118,106,3,100,1,7,"Highest",NA,NA,8.06,8.4,1.8,11.4,"2015","2021",7
"Gooseberry RS",495,"Utah","SNOTEL","Sevier",7944,38.80034,-111.68333,160300030405,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,52,58,52,60,100,32,34,-2.15,2,41,1,"Lowest",6.2,5.5,6.19,5.35,3.2,11.4,"1995, 2021","1984",42
"Gooseberry RS Up",1184,"Utah","SNOTEL","Sevier",8396,38.7882,-111.68892,160300030405,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.6,NA,NA,65,63,98,47,52,-2.65,0,10,1,"Lowest",NA,NA,7.05,7.25,4.6,11.2,"2021","2016",10
"Graham Guard Sta.",496,"Idaho","SNOTEL","Elmore",5690,43.9538,-115.27387,170501110303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.2,89,89,90,96,99,67,69,-0.4,45,23,18,"",10.3,10.3,10.21,9.6,4.1,16.6,"2013","1983",41
"Grand Targhee",1082,"Wyoming","SNOTEL","Teton",9260,43.77933,-110.92783,170402040202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",25.7,89,101,87,85,100,51,53,-4.5,7,14,2,"2nd Lowest",29,25.4,29.69,30.2,23.2,36.2,"2012","2008",15
"Grandview",956,"Alaska","SNOTEL","Kenai Peninsula",1100,60.60832,-149.06313,190203021001,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",26.7,121,120,138,132,97,82,77,6.4,79,7,24,"",22.1,22.3,19.28,20.3,1.2,34.8,"2015","2000",30
"Granite Creek",497,"Wyoming","SNOTEL","Teton",6770,43.34298,-110.43495,170401030304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.8,89,92,87,92,100,62,67,-0.95,33,23,12,"",12.2,11.8,12.41,11.75,6.8,25.2,"2010","1997",34
"Granite Crk",963,"Alaska","SNOTEL","Southeast Fairbanks",1240,63.94382,-145.39993,190803031306,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,79,79,82,87,100,62,68,-0.4,31,23,11,"",3.3,3.3,3.16,3,1.3,5.7,"2019","1991",33
